idx,domain,doc,source,reference,target
61,news,test-en-news_pa.52742,"Last year, however, the U.S. Court of Appeals for the District of Columbia ruled against the SEC's refusal to approve an application from Grayscale to convert a derivative fund into one that would directly bitcoin, calling the SEC's position ""","그러나 지난 해 컬럼비아 특별구 미국 항소 법원은 파생 펀드를 직접 비트코인을 보유할 수 있는 펀드로 전환하려는 Grayscale의 신청을 승인하지 않은 SEC의 결정에 반대하는 판결을 내리고 SEC의 입장을 다음과 같이 평가했습니다. ""","그러나 작년에 컬럼비아 특별구 항소 법원은 그레이스케일이 파생 상품 펀드를 비트코인에 직접 투자하는 펀드로 전환하는 신청을 승인하지 않은 SEC의 결정에 대해 SEC의 입장을 """
62,news,test-en-news_pa.52742,"""Based on these circumstances and those discussed more fully in the approval order, I feel the most sustainable path forward is to approve the listing and trading of these spot bitcoin ETP shares,"" Gensler explained.","Gensler는 ""이러한 상황과 승인 명령에서 자세히 논의된 내용을 바탕으로 이러한 현물 비트코인 ETP 주식의 상장 및 거래를 승인하는 것이 가장 지속 가능한 길이라고 생각한다""고 설명했습니다.","겐슬러 위원장은 ""이러한 상황과 승인 명령서에 더 자세히 논의된 내용을 바탕으로, 현물 비트코인 ETP 주식의 상장 및 거래를 승인하는 것이 가장 지속 가능한 길이라고 생각합니다.""라고 설명했습니다."
63,news,test-en-news_pa.52742,The much-anticipated approval has been hailed as a watershed event for digital currencies that proponents say will broaden access to investing in bitcoin and possibly lead to broader acceptance of cryptocurrencies as legitimate financial assets.,많은 기대를 모았던 승인은 지지자들이 비트코인 투자에 대한 접근성을 넓히고 암호화폐를 합법적인 금융 자산으로 광범위하게 수용하게 될 것이라고 말하는 디지털 통화의 분수령이 되는 사건으로 환영받고 있습니다.,"많은 기대를 모았던 승인은 디지털 화폐의 분수령이 되는 사건으로 환영받고 있습니다. 지지자들은 이 승인으로 비트코인 투자 접근성이 확대되고, 암호화폐가 합법적인 금융 자산으로 더 널리 인정받는 계기가 될 것이라고 주장합니다."
64,news,test-en-news_pa.52742,"The price of bitcoin has exploded higher in recent months, rising from around $25,000 in September to more than $45,000, in part because many bitcoin investors believe the ETFs will create more demand for the asset.","비트코인 가격은 최근 몇 달 동안 폭등하여 9월 약 25,000달러에서 45,000달러 이상으로 상승했습니다. 그 이유 중 하나는 많은 비트코인 투자자들이 ETF가 자산에 대한 더 많은 수요를 창출할 것이라고 믿기 때문입니다.","최근 몇 달 동안 비트코인 가격은 급등하여 9월 약 25,000달러에서 45,000달러 이상으로 상승했습니다. 이는 많은 비트코인 투자자들이 ETF가 비트코인 수요를 더욱 증가시킬 것으로 예상하기 때문입니다."
65,news,test-en-news_pa.52742,Critics blasted the SEC on Wednesday night.,비평가들은 수요일 밤에 SEC를 맹비난했습니다.,"수요일 밤, 비평가들은 증권거래위원회(SEC)를 맹비난했다."
66,news,test-en-news_pa.52742,"Dennis M. Kelleher, Co-founder, President, and CEO of Better Markets, said the approval is a ""an historic mistake that will not only unleash crypto predators on tens of millions of investors and retirees but will also likely undermine financial stability.""","Better Markets의 공동창업자이자 회장겸 CEO인 Dennis M. Kelleher는 이번 승인이 ""수천만 명의 투자자와 은퇴자들에게 암호화폐 약탈자를 노출시킬 뿐만 아니라 금융 안정성을 약화시킬 수 있는 역사적인 실수""라고 말했습니다.","베터 마켓츠의 공동 설립자이자 사장 겸 CEO인 데니스 M. 켈러는 이번 승인은 ""수천만 명의 투자자와 은퇴자에게 암호화폐 약탈자들을 풀어놓을 뿐만 아니라 금융 안정성을 해칠 가능성이 높은 역사적인 실수""라고 말했습니다."
67,news,test-en-news_pa.52742,"""With the flagrantly lawless crypto industry crashing and burning due to a mountain of arrests, criminal convictions, bankruptcies, lawsuits, scandals, massive losses, and millions of investor and customer victims, who would have thought that the SEC would come to its rescue by approving a trusted and familiar investment vehicle that will enable the mass marketing of a known worthless, volatile, and fraud-filled financial product to Main Street Americans,"" Kelleher said.","Kelleher는 ""수많은 체포, 형사 유죄 판결, 파산, 소송, 스캔들, 상당한 손실, 수백만 명의 투자자와 고객 피해자로 인해 무법 상태의 암호화폐 산업이 붕괴되고 초토화된 상황에서, SEC가 알려진 무가치하고 변동성이 크며 사기성이 높은 금융 상품을 주류 미국인들에게 대량으로 마케팅할 수 있는 신뢰할 수 있고 친숙한 투자 수단을 승인하여 구제에 나설 것이라고 누가 생각했을까요?""라고 말했습니다.","켈러허는 ""뻔뻔스럽게 불법적인 암호화폐 업계가 수많은 체포, 유죄 판결, 파산, 소송, 스캔들, 막대한 손실, 그리고 수백만 명의 투자자와 고객 피해자를 낳으며 무너지고 있는 가운데, 누가 SEC가 신뢰할 수 있고 익숙한 투자 수단을 승인함으로써 월스트리트가 알려진 대로 가치 없고 변동성이 크며 사기로 가득 찬 금융 상품을 일반 미국인들에게 대량 판매할 수 있도록 구제해 줄 것이라고 생각했겠는가?""라고 말했다."
68,news,test-en-news_scotsman.87445,"Don't let SNP to turn health service crisis into the ""new normal"" - Scotsman comment","SNP가 의료 서비스 위기를 ""뉴 노멀""로 전환하게 하지 마라 - Scotsman 논평","SNP가 보건 서비스 위기를 ""새로운 정상""으로 만들도록 내버려둬선 안 된다 - 스코츠맨 논평"
69,news,test-en-news_scotsman.87445,"As the latest tranche of NHS figures reveals more bad news, we should be outraged","최신 NHS 수치 자료에서 더 많은 나쁜 소식이 드러남에 따라, 우리는 분노해야 함","최근 발표된 NHS 통계에서 또 다시 좋지 않은 소식이 드러나면서, 우리는 분노해야 합니다."
70,news,test-en-news_scotsman.87445,"An 83-hour wait in a hospital A&E; four-in-ten patients waiting longer than four hours; 30 ambulances queuing outside a hospital, unable to respond to other emergency calls; staff ""leaving shifts in tears"" over the standard of care and ""a near collapse of performance,"" according to an expert at the Royal College of Emergency Medicine.","영국 왕립 응급의학 대학의 전문가에 따르면 병원 응급실에서 83시간을 대기하고, 10명 중 4명의 환자가 4시간 이상 대기하고, 구급차 30대가 병원 밖에 줄을 서서 다른 응급 전화에 응답하지 못하고, 직원들은 진료 기준을 초과하여 ""눈물을 흘리며 교대 근무를 그만두고"", ""수행이 거의 붕괴""되었다고 합니다.","응급실에서 83시간 대기; 환자 10명 중 4명이 4시간 이상 대기; 다른 응급 호출에 응답하지 못하고 병원 밖에 30대의 구급차가 줄지어 대기; 응급의학협회 전문가에 따르면 직원들은 치료 수준에 대한 부담감으로 ""눈물을 흘리며 퇴근""하고 있으며 ""의료 체계 붕괴 직전"" 상황이다."
71,news,test-en-news_scotsman.87445,"If anyone dares to say that Scotland's NHS is not in a state of crisis or that these are just the usual winter problems, we should be outraged.",스코틀랜드의 NHS가 위기 상황에 처해 있지 않다거나 흔한 겨울철 문제에 불과하다고 말하는 사람이 있다면 우리는 분노해야 합니다.,"누군가 감히 스코틀랜드 NHS가 위기에 처하지 않았다거나, 이것이 그저 흔한 겨울철 문제일 뿐이라고 말한다면, 우리는 분노해야 합니다."
72,news,test-en-news_scotsman.87445,"The danger is that politicians like the embattled Health Secretary, Michael Matheson, will succeed in their efforts to convince us that, while regrettable, this is somehow acceptable, that there is nothing more that ministers can do in the circumstances, that this is the new normal.","위험한 것은, 곤경에 처한 보건부 장관 Michael Matheson과 같은 정치인들이 유감스럽지만 이것은 어떻게든 받아들일 수 있는 일이고, 장관들은 이 상황에서 더 할 수 있는 일이 없으며, 이것은 뉴 노멀이라고 우리를 납득시키는 데 성공할 것이라는 점입니다.","문제는 마이클 매티슨 보건장관처럼 궁지에 몰린 정치인들이 유감스럽지만 어쩔 수 없다는 식으로, 현재 상황에서 장관들이 할 수 있는 일이 더 이상 없다는 식으로, 이것이 새로운 정상이라는 식으로 우리를 설득하려는 시도가 성공할 수 있다는 것입니다."
73,news,test-en-news_scotsman.87445,"Amid calls for his resignation over the abject failure of the SNP's NHS recovery plan, Matheson spoke of how the ""heightened winter pressure"" was ""not unique to Scotland.""","SNP의 NHS 복구 계획이 처참히 실패함에 따라 사임 요구가 거세지자, Matheson은 ""강화된 겨울 압박""이 ""스코틀랜드만의 문제가 아니다""고 말했습니다.","SNP의 NHS 회복 계획이 완전히 실패하면서 사퇴 압박에 시달리는 가운데, 매티슨은 ""겨울철 의료 체계 부담 가중""이 ""스코틀랜드만의 문제가 아니""라고 발언했습니다."
74,news,test-en-news_scotsman.87445,"Instead of ""blame Westminster,"" the attempted defence this time was ""Westminster's just as bad,"" as if that provided any comfort to the legions of patients forced to wait for hours on end in pain and distress.","이번에는 ""웨스트민스터를 탓""하는 대신, 고통과 괴로움 속에서 몇 시간 동안 계속 대기해야 했던 수많은 환자에게 위안이 된 것처럼 ""웨스트민스터도 마찬가지로 나쁘다""라고 방어했습니다.","이번에는 ""웨스트민스터를 비난하는"" 대신, 마치 고통과 괴로움 속에서 몇 시간씩 기다려야 하는 수많은 환자들에게 위로가 되기라도 하는 듯 ""웨스트민스터도 마찬가지로 심각하다""는 변명을 시도했습니다."
75,news,test-en-news_scotsman.87445,"He admitted that the age-old problem of delayed discharge - in which patients well enough to leave hospital cannot do so, often because the necessary social care is not available - was a ""major factor,"" but claimed an action plan was being ""implemented at pace.""","Matheson은 오래된 퇴원 지연 문제(환자가 병원에서 퇴원할 수 있을 만큼 건강하지만 필요한 사회적 돌봄을 받을 수 없어서 퇴원하지 못하는 문제)가 ""주요 요인""이라고 인정했지만 조치 계획이 ""빠른 속도로 구현되고 있다""고 주장했습니다.","그는 오랫동안 병원을 떠날 만큼 건강이 회복되었지만 필요한 사회적 지원 부족으로 퇴원하지 못하는 환자들로 인한 고질적인 퇴원 지연 문제가 ""주요 원인""임을 인정하면서도, 해결책이 ""빠르게 시행""되고 있다고 주장했습니다."
76,news,test-en-news_scotsman.87445,"Given this has been a persistent issue for years, few will have high hopes the SNP has finally found a solution.",이 문제는 수년 동안 지속되어 왔으므로 SNP가 마침내 해결책을 찾았다고 큰 기대를 하는 사람은 거의 없을 것입니다.,"하지만 이 문제가 수년간 지속되어 왔다는 점을 고려할 때, SNP가 드디어 해결책을 찾았다고 믿는 사람은 거의 없을 것입니다."
77,news,test-en-news_scotsman.87445,"Indeed, new Public Health Scotland figures show the situation is actually getting worse: 1,910 people were delayed in hospital in November, up from 1,730 in April.","실제로 스코틀랜드 공중보건부의 새로운 수치에 따르면 상황이 사실상 더 악화되고 있습니다. 병원에서 지연된 환자 수가 4월에는 1,730명이었고 11월에는 1,910명으로 더 증가했습니다.","실제로 스코틀랜드 공중보건국(Public Health Scotland)의 새로운 통계자료는 상황이 악화되고 있음을 보여줍니다. 4월에 1,730명이었던 병원 내 체류 지연 환자 수가 11월에는 1,910명으로 증가했습니다."
78,news,test-en-news_scotsman.87445,One reason why ambulances cannot drop off patients promptly is that A&E departments are full because wards are full.,구급차가 환자를 즉시 내려주지 못하는 한 가지 이유는 병실에 자리가 없어서 응급실 과가 꽉 찼기 때문입니다.,구급차가 환자를 신속하게 이송하지 못하는 이유 중 하나는 병동이 가득 차 응급실도 포화상태이기 때문입니다.
79,news,test-en-news_scotsman.87445,"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that.","우리 병원들의 상태를 보면 SNP에서 말하는 복구 계획과 조치 계획은 그저 말뿐이며, 그것도 위험한 말입니다.","병원들의 현 상황을 보면, 스코틀랜드 국민당(SNP)의 회복 계획과 실행 계획에 대한 이야기는 단지 말뿐이며, 그것도 위험한 말일 뿐입니다."
80,news,test-en-news_scotsman.87445,"We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.",무능한 정치인들이 우리를 거대한 영국 기관인 국민 보건 서비스(NHS)의 몰락에 공모시키도록 해서는 안 됩니다.,우리는 무능한 정치인들이 그 위대한 영국 기관인 국민보건서비스(NHS)의 몰락에 우리를 방관자로 만들도록 내버려 두어서는 안 됩니다.
81,news,test-en-news_scotsman.87448,Construction waste recycling firm opens new Cumbernauld plant amid circular economy drive,순환경제가 본격화하는 가운데 컴버널드에 새 공장을 연 건설 폐기물 재활용 회사,"건설 폐기물 재활용 기업, 순환 경제 활성화 위해 컴버널드에 새 공장 설립"
82,news,test-en-news_scotsman.87448,Move will also help transform land at the derelict Gartshore Works site.,방치되었던 가트쇼어 워크스 부지도 새롭게 변모할 것으로 기대된다.,이번 조치는 또한 버려진 가츠쇼어 공장 부지의 토지 변형에도 도움이 될 것입니다.
83,news,test-en-news_scotsman.87448,A Scottish recycling business that has already processed more than a million tonnes of construction waste has opened a second plant following a multi-million pound investment.,건설 폐기물 처리 실적이 1백만 톤을 돌파한 스코틀랜드의 재활용 전문 기업이 수백만 파운드를 들여 지은 제2 공장을 개설했다.,이미 백만 톤 이상의 건설 폐기물을 처리한 스코틀랜드 재활용 기업이 수백만 파운드를 투자하여 두 번째 공장을 열었습니다.
84,news,test-en-news_scotsman.87448,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse.",브루스터 브라더스(Brewster Brothers)의 워시 플랜트에서는 건설 산업의 굴착 공사에서 발생하는 흙 및 잔해물을 처리하여 재사용 가능한 고부가가치 골재로 100% 변환한다.,브루스터 브라더스의 세척 플랜트는 건설 업계에서 발생하는 굴착 토양과 잔해를 100% 재활용하여 고부가가치 골재로 생산합니다.
85,news,test-en-news_scotsman.87448,"Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill.","웨스트 로디언 리빙스턴 인근에 위치한 이 회사의 공장에서 지난 6년간 135만 톤가량의 건설, 철거, 굴착 폐기물을 처리한 덕분에 이 쓰레기가 매립될 운명을 피할 수 있었다.","지난 6년 동안 웨스트 로디언 리빙스턴 인근에 위치한 이 회사는 거의 135만 톤에 달하는 건설, 철거 및 굴착 폐기물의 매립을 방지했습니다."
86,news,test-en-news_scotsman.87448,It has created more than one million tonnes of recycled aggregates to sell into the industry.,그로부터 건설용 재활용 골재가 1백만 톤 이상 생산되었다.,그리고 100만 톤 이상의 재활용 골재를 생산하여 업계에 판매했습니다.
87,news,test-en-news_scotsman.87448,"As part of a £6 million-plus expansion of the business, Brewster has now opened its second recycling site, regenerating the old Gartshore Works near Cumbernauld.",이제 브루스터가 6백만 파운드 넘게 투자한 사업 확장 전략의 일환으로 제2 재활용 공장을 열면서 이 공장이 위치한 컴버널드 인근의 오래된 가트쇼어 워크스 지역도 재생의 물꼬가 트였다.,"600만 파운드(약 96억 원) 이상의 사업 확장의 일환으로, 브루스터는 컴버널드 인근의 옛 가트쇼어 공장 부지를 재생하여 두 번째 재활용 공장을 열었습니다."
88,news,test-en-news_scotsman.87448,"The new plant will serve construction sites, housing and utilities developments in the western part of the Central Belt.","이 새 공장은 센트럴 벨트 서부 지역의 건설, 주택 개발, 공익사업 현장에 서비스를 제공할 것이다.","새로운 공장은 센트럴 벨트 서부 지역의 건설 현장, 주택 및 공공시설 개발 사업에 서비스를 제공할 것입니다."
89,news,test-en-news_scotsman.87448,"The plant near Livingston, which currently employs 39 people, will continue to provide sustainable waste management services and recycled aggregates to businesses in Edinburgh, Fife and the Lothians.","현재 39명을 고용하고 있는 리빙스턴 인근의 공장은 계속해서 에딘버러, 파이프, 로디언 지역의 기업에 지속 가능한 폐기물 관리 서비스와 재활용 골재를 공급한다.","현재 39명의 직원을 고용하고 있는 리빙스턴 인근의 기존 공장은 에든버러, 파이프 및 로디언 지역의 기업들에게 지속 가능한 폐기물 관리 서비스와 재활용 골재를 계속해서 제공할 것입니다."
90,news,test-en-news_scotsman.87448,"Scott Brewster, managing director, who set up the business in 2017 alongside his father, Alex, said: ""It's increasingly clear that the construction sector in Scotland appreciates the need to reduce the amount of natural resources that the industry uses and the amount of carbon it emits while increasing use of recycled and secondary materials.","2017년에 그의 아버지, 알렉스와 함께 이 회사를 세운 스콧 브루스터 전무 이사는 이렇게 말한다. ""분명히도, 스코틀랜드 건설 업계는 천연자원 사용량과 탄소 배출량을 줄이면서 재활용 자재 및 2차 자재 사용을 늘릴 필요성을 느끼고 있다.","스콧 브루스터 상무는 2017년 부친 알렉스와 함께 사업을 시작했으며, 다음과 같이 말했습니다."
91,news,test-en-news_scotsman.87448,"The volume of construction, demolition and excavation waste that's been recycled over the last six years has grown enormously, and our investment into this second site demonstrates that there's room for a further expansion in this area.","지난 6년 새 건설, 철거, 굴착 공사 폐기물의 재활용 규모는 비약적으로 늘어났으며, 따라서 이번 제2 공장에 대한 투자는 이 분야가 더욱 확장될 가능성이 있음을 입증한다.","""스코틀랜드 건설 업계는 업계에서 사용하는 천연 자원의 양과 배출되는 탄소량을 줄이는 동시에 재활용 및 부산물 자재의 사용을 늘려야 한다는 필요성을 점점 더 크게 인식하고 있습니다. 지난 6년 동안 재활용된 건설, 철거 및 굴착 폐기물의 양은 엄청나게 증가했으며, 이 두 번째 부지에 대한 투자는 이 분야의 추가 확장 여지가 있음을 보여줍니다."""
92,news,test-en-news_scotsman.87448,"""Scotland has big ambitions for transitioning to a circular economy, and the government plans to bring in a new devolved aggregates tax that should accelerate the shift away from the use of virgin products.""","스코틀랜드는 순환경제로 전환하겠다는 웅대한 포부를 세웠으며, 이에 정부는 신재 원료 사용 감축에 속도를 낼 위임 골조세를 신설할 계획이다.","스코틀랜드는 순환 경제로의 전환에 큰 포부를 가지고 있으며, 정부는 천연 자원 사용을 줄이기 위해 새로운 지방 분권 골재세 도입을 계획하고 있습니다."
93,news,test-en-news_scotsman.87448,As part of the firm's redevelopment of the derelict Gartshore Works site it has recruited new members of staff supported by Scottish Enterprise's Green Jobs Fund.,"이 회사는 가트쇼어 워크스 폐부지 재개발 사업의 일환으로, 스코틀랜드 기업청(Scottish Enterprise) 녹색 일자리 펀드(Green Jobs Fund)의 지원을 받아 신규 직원을 채용했다.",회사는 방치된 가츠쇼어 공장 부지 재개발 사업의 일환으로 스코틀랜드 기업청의 녹색 일자리 기금 지원을 받아 신규 직원을 채용했습니다.
94,news,test-en-news_scotsman.87448,"The firm will also recycle the old bing of colliery waste on the site, and the area will be turned into a country park for the local community.","아울러 이 현장의 오래된 탄광 폐기물도 재활용할 계획이며, 이곳은 현지 공동체를 위한 생태 공원으로 탈바꿈할 것이다.","또한 부지 내 기존의 탄광 폐기물 더미를 재활용하고, 해당 지역을 지역 사회를 위한 공원으로 조성할 계획입니다."
95,social,test-en-social_111975617901079872,"I guess I should find a job, but I'm quite lazy.",일자리를 구해야 할 것 같은데 저는 정말 게을러서요.,"취직해야 할 것 같은데, 좀 게으르네요."
96,social,test-en-social_111975617901079872,"Hire me now, I'll drink all your beer.","절 채용하세요, 그럼 당신의 맥주를 모두 마셔드릴게요.","저 좀 뽑아주세요, 맥주 다 마셔드릴게요."
97,social,test-en-social_111975617901079872,"not so much lazy, but fatigued, even after all this time.",게으르기보다는 피곤한 것이죠. 그토록 많은 시간이 지났지만.,"게으르다기보다는, 오랜 시간이 지났는데도 여전히 피곤해."
98,social,test-en-social_111975617901079872,time. rosemary and thyme,"시간(time), 로즈메리, 타임(thyme).",피곤해. 로즈마리와 타임 향이 나.
99,social,test-en-social_111975617901079872,"yeah bro, I probably wouldn't hire me, might fall asleep.","이봐 형씨, 나 같으면 나를 고용하지 않을 거야, 잠들어버릴지도 모르지.","야, 나 같아도 나 안 뽑을 듯. 졸지도 몰라."
100,social,test-en-social_111975617901079872,but you totallly should.,하지만 당신은 나를 고용해야 해.,근데 너는 진짜 해봐야 돼.
101,social,test-en-social_111975617901079872,that beer aint drinking itself aye,"맥주가 저절로 사라지지는 않으니까, 응",맥주가 지가 알아서 마셔지진 않잖아.
102,social,test-en-social_111975617901079872,I mean I've drunlk all the beer but still don't have a job. WTF.,이 맥주를 다 마셨는데도 직업이 없어요. 망할.,맥주는 다 마셨는데 아직도 직장이 없네. 아 진짜.
103,social,test-en-social_111975617901079872,How does this universe even work,도대체 이 세상이 어떻게 돌아가는 거야,이 세상은 대체 어떻게 돌아가는 거야?
104,social,test-en-social_111975617901079872,"tbf, the beer is was fikn awesome",솔직히 맥주는 정말 끝내줬어요,"솔직히, 맥주 진짜 끝내줬어."
105,social,test-en-social_111975617901079872,is was hehehe gotta find moar beer,정말 헤헤헤 맥주를 더 찾아야겠네,있었다 히히 더 많은 맥주 찾아야겠다
106,social,test-en-social_111975617901079872,ps hire me or hire someone better,제발 날 고용해줘요 아니면 더 나은 사람을 구하던가,추신: 저를 채용해 주세요 아니면 더 나은 사람을 고용하세요.
107,social,test-en-social_111975617901079872,I'm not your mum,나는 네 엄마가 아니야,난 네 엄마가 아니야
108,social,test-en-social_111975617901079872,"I don't even remember what I can do anymore., Might upgrade to whiskey.","뭘 더 할 수 있을지 기억나지도 않아, 위스키로 업그레이드해 볼까.",뭘 할 수 있는지도 이젠 기억이 안 나네. 위스키로 바꿔볼까.
109,social,test-en-social_111977498791056432,"Since I have so few followers here, it's a safe place to catalogue my #Zelda failures.",여기는 팔로워가 별로 없어서 나의 #Zelda 실패담을 기록해도 안전한 곳이야.,팔로워가 별로 없으니 여기는 제 #젤다 실패들을 기록하기에 안전한 곳 같네요.
110,social,test-en-social_111977498791056432,"Three times I've tried to pick up a tree trunk with an axe, smashing it up instead. 🤦‍♀️",나는 세 번이나 도끼로 나무 줄기를 찍어 올리려 하다가 부숴버렸어. 🤦‍♀️,나무토막을 도끼로 들어 올리려다가 세 번이나 박살 내버렸어요. 🤦‍♀️
111,social,test-en-social_111977498791056432,Make that four times,네 번째 도전해봐,네 번으로 하죠.
112,social,test-en-social_111977498791056432,Did an impressive summersault and smashed my raft in a single move,멋지게 공중제비를 돌고 단번에 뗏목을 부숴버렸지,멋진 공중제비를 돌았는데 그 한 방에 래프트를 박살 내버렸지 뭐야.
113,social,test-en-social_111977498791056432,Pushing myself into the crevasse with a giant baseball,거대한 야구공을 들고 틈새 속으로 비집고 들어가기,거대한 야구공으로 크레바스 안으로 몸을 밀어 넣었다.
114,social,test-en-social_111977498791056432,Killed myself with my own boomerang,내가 던진 부메랑을 맞고 죽다니,부메랑에 맞아 죽었어.
115,social,test-en-social_111977498791056432,I hate lava #firetemple,용암이 싫어 #firetemple,용암 진짜 싫어 #불의신전
116,social,test-en-social_111977498791056432,Starting to be bored of sludge too #watertemple,슬러지도 슬슬 지겨워지네 #watertemple,슬러지도 슬슬 지겨워지네 #물의신전
117,social,test-en-social_111977498791056432,Back to this. I hate Queen Gidbo,돌아와. 나는 기드보 여왕이 싫어.,다시 이 얘기로 돌아와서. 난 기드보 여왕이 싫어.
118,social,test-en-social_111977498791056432,Just discovered the upgrade where you can see where you've been.,내가 지금까지 어디에 있었는지 확인할 수 있는 업그레이드를 발견했어.,방문했던 장소를 볼 수 있는 업그레이드 기능을 방금 발견했어요.
119,social,test-en-social_111977498791056432,After 4 months of playing this game.,이 게임을 하면서 4개월이 지났네.,이 게임을 4개월 동안 플레이한 후에.
120,social,test-en-social_111977498791056432,I've definitely been going about this the wrong way.,내가 지금까지 잘못된 방향으로 갔던 게 분명해.,내가 완전히 잘못된 방식으로 하고 있었네.
121,social,test-en-social_111977498791056432,facepalmed right into the ground,땅에 얼굴을 갖다 댔다,땅에 얼굴을 묻었다
122,social,test-en-social_111977498791056432,It's been a while since I've updated this thread.,이 스레드를 업데이트한 지 꽤 오래되었네요.,오랜만에 이 글을 업데이트하네요.
123,social,test-en-social_111977498791056432,Finally defeated Queen Gidbo.,드디어 기드보 여왕을 물리쳤어요.,드디어 기드보 여왕을 처치했습니다.
124,social,test-en-social_111977498791056432,"Having read ahead, the next few battles sound like hard work.",미리 읽어봤는데 앞으로 몇 번의 전투가 힘들 것 같아요.,"미리 읽어봤는데, 앞으로 몇 번의 전투는 꽤 힘들 것 같네요."
125,social,test-en-social_111977498791056432,I just want to wander around and occasionally pick some mushrooms.,주변을 좀 돌아다니다가 가끔 버섯이나 따고 싶네.,그냥 여기저기 돌아다니면서 가끔 버섯이나 따고 싶어요.
126,social,test-en-social_111977766001055104,Moon landing time (about an hour to go),달 착륙 시간(약 1시간 남음),달 착륙 시간 (약 1시간 남음)
127,social,test-en-social_111977766001055104,The lander is about the size of old UK telephone box...,이 착륙선은 영국의 옛 공중전화 박스만 한 크기이다...,착륙선은 영국의 옛날 공중전화 부스 크기 정도입니다...
128,social,test-en-social_111977766001055104,3 minutes to go...,3분 남았음...,3분 남았습니다...
129,social,test-en-social_111977766001055104,"They had to patch some extra lasers into the landing system, hence the earlier delay:",착률 시스템에 추가 레이저 패치 작업을 해야 했기 때문에 앞서 지연되었음:,착륙 시스템에 추가 레이저를 몇 개 더 설치해야 했어요. 그래서 아까 지연되었던 겁니다
130,social,test-en-social_111977766001055104,60 seconds… No comms yet...,60초… 아직 통신 없음...,60초… 아직 연락 없음...
131,social,test-en-social_111977766001055104,Live feed says that they have a signal,라이브 피드에 의하면 신호가 있다,실시간 중계에서 신호를 잡았다고 합니다.
132,social,test-en-social_111977766001055104,"""We're on the surface and transmitting""",표면에 착륙했고 전송 중이다,지표면에 도착해서 송신하고 있습니다.
133,social,test-en-social_112109186993725712,"So, my life kind of sucks right now.",요즘 사는 게 괴롭네요.,"그러니까, 내 인생이 요즘 좀 엉망이야."
134,social,test-en-social_112109186993725712,And this is why,그 이유를 말씀드리죠.,그리고 이것이 바로 그 이유입니다.
135,social,test-en-social_112109186993725712,This is the state of my upstairs bathroom right now.,위층 욕실이 이런 상태랍니다.,지금 우리 집 위층 욕실 상태가 이래요.
136,social,test-en-social_112109186993725712,My brother came and ripped it all out and I’ve been putting off starting to work to put it all back together,제 동생이 와서 죄다 뜯어냈어요. 제가 다시 설치해야 하는데 차일피일 미루고 있어요,"남동생이 와서 다 뜯어 놨는데, 다시 원상복구하는 작업을 시작하는 걸 계속 미루고 있어요."
137,social,test-en-social_112109186993725712,"Blech. Okay, so I finished pulling the insulation out. Holy crap!","윽, 좋아요, 단열재 제거는 마쳤네요. 젠장!","으으. 좋아, 단열재 빼는 거 끝냈어. 헐!"
138,social,test-en-social_112109186993725712,The tyvek suit… super good call.,타이벡 수트… 탁월한 선택이에요.,타이벡 슈트… 진짜 잘 생각했네.
139,social,test-en-social_112109186993725712,"Despite getting really hot and sweaty and overall nasty, the state that suit was in afterwards is way better than all that junk being on me.","정말 후덥지근해지고 땀으로 흥건해지고 전반적으로 꼴사나운 모습이 되지만, 온갖 쓰레기가 나에게 달라붙는 것보다는 훨씬 낫죠.","엄청 덥고 땀나고 완전 <binary data, 1 bytes><binary data, 1 bytes><binary data, 1 bytes><binary data, 1 bytes><binary data, 1 bytes><binary data, 1 bytes>하긴 했지만, 그 슈트 상태를 보니까 그 먼지들이 내 몸에 다 묻는 것보단 훨씬 낫더라."
140,social,test-en-social_112109186993725712,So I guess next is scoring a line on the ceiling and pulling that down then putting the new one up as fast as I can.,다음에 할 일은 천장에 선을 그리고 아래로 떼어낸 다음 최대한 빨리 새 것을 설치하는 것이죠.,그럼 다음은 천장에 선을 긋고 그 부분을 뜯어낸 다음에 최대한 빨리 새것을 붙이는 거겠네요.
141,social,test-en-social_112109186993725712,"@user16 Ugh, fiberglass insulation gets everywhere!","@user16 윽, 유리섬유 단열재가 사방에 있네요!","으으, 유리섬유 단열재가 사방에 다 붙네!"
142,social,test-en-social_112109186993725712,"Great idea, using a painter's suit, I need to remember that!","페인터 수트 착용은 좋은 아이디어네요, 꼭 기억해야겠어요!",작업복 입는 거 좋은 생각이야. 꼭 기억해야겠다!
143,social,test-en-social_112109186993725712,@user17 Girl… get one.,@user17 하나 장만하세요.,@사용자17 야… 하나 사.
144,social,test-en-social_112109186993725712,"I think it was 18bucks but looking at what could have been stuck all over me, WELL worth it.","18달러 준 것 같은데, 이걸 입지 않았다면 제 온몸에 잔뜩 달라붙었겠죠. 돈 주고 살 만합니다.","18달러였던 것 같은데, 온몸에 붙어있었을 걸 생각하면 돈이 전혀 아깝지 않아요."
