idx,domain,doc,source,reference,target
180,social,test-en-social_112152593528184304,"If I ever have the opportunity to have a custom tail number for an aircraft, you KNOW it has to be some variation of N1337_, the _ being whatever final alphabetical char is available.","만약 항공기의 지정 식별 번호를 받을 기회가 있다면, N1337_과 같은 식이 되어야 하거든요. _는 끝에 어떤 알파벳 철자가 들어가고요.","내가 만약 항공기 등록번호를 직접 정할 기회가 생긴다면, 무조건 N1337_ 형태로 할 거예요. 마지막 _ 부분은 사용 가능한 알파벳 문자 아무거나 넣으면 되고요."
181,social,test-en-social_112152593528184304,"Of course the sun is gonna be out while I'm away, lol.",물론 내가 멀리 간 사이에 해가 질 거예요. ㅋㅋㅋ,"내가 없는 동안에만 해 <binary data, 1 bytes><binary data, 1 bytes><binary data, 1 bytes><binary data, 1 bytes><binary data, 1 bytes><binary data, 1 bytes>하겠지, ㅋㅋ."
182,social,test-en-social_112152593528184304,What a punk.,진짜 황당하죠.,진짜 약오르네.
183,social,test-en-social_112152593528184304,I need to be in the air again.,전 다시 이륙해야 해요.,"다시 하늘을 날아야 하는데,"
184,social,test-en-social_112152593528184304,And the weather is not behaving.,그런데 날씨가 말을 안 듣네요.,날씨가 도와주질 않네.
185,social,test-en-social_112152593528184304,Welcome to General Aviation 😜,일반 항공 분야에 오신 것을 환영합니다 😜,일반 항공에 오신 것을 환영합니다 😜
186,social,test-en-social_112152593528184304,"I'm getting the vibe that aviation tend to track farily conservative based on some of the ads youtube has decided I should see, videos I'm being recommended, and comments I see.","제 느낌에는 유튜브가 저더러 봐야된다고 하는 광고들, 추천하는 비디오, 확인하는 댓글들에 따르면 비행 추적이 상당히 보수적인 경향이 있어요.","유튜브에서 보여주는 광고나 추천 영상, 댓글들을 보면 항공 업계가 꽤 보수적인 성향을 띄는 것 같다는 느낌을 받아요."
187,social,test-en-social_112152593528184304,"If the weather behaves, I'll be flying again on Saturday.",날씨가 괜찮다면 토요일에 다시 비행할 겁니다.,날씨만 좋으면 토요일에 다시 비행할 거예요.
188,social,test-en-social_112152593528184304,"Also, I found a pink logbook.",그리고 핑크 로그북도 찾았어요.,그리고 분홍색 항해일지를 찾았어요.
189,social,test-en-social_112152593528184304,Happy Saturday morning.,즐거운 토요일 아침이네요.,즐거운 토요일 아침입니다.
190,social,test-en-social_112152593528184304,I did this today ^_^,오늘 이걸 했답니다 ^_^,오늘 이거 했어요 ^_^
191,social,test-en-social_112152593528184304,Its log book official.,공식 로그북이예요. 두 세 시간 정도 시간 있어요 ^_^,운항일지 공식 기록! 2.3시간 비행했어요 ^_^
192,social,test-en-social_112152593528184304,I have 2.3 hours ^_^,공식 로그북이예요. 두 세 시간 정도 시간 있어요 ^_^,운항일지 공식 기록! 2.3시간 비행했어요 ^_^
193,social,test-en-social_112152593528184304,"If u asked me to describe what flying a small plane is like, I'd say it's a combination of a motorcycle/ATV and a boat at 4000 ft in the air","경비행기를 타는 느낌이 어떠냐고 물으시다면, 오토바이, ATV, 보트의 조합체를 4,000 피트 상공에서 타는 것 같다고 말할 수 있죠.","경비행기를 모는 게 어떤 느낌이냐고 물어보신다면, 4,000피트 상공에서 오토바이/ATV와 보트를 동시에 타는 느낌이라고 말씀드리겠습니다."
194,social,test-en-social_112152593528184304,On the ground things get very fast very quickly.,지상에서는 탈 것들이 아주 빠르고 신속해요.,땅에서는 상황이 아주 빠르게 전개됩니다.
195,social,test-en-social_112152593528184304,There's a certain Mount of instability on the ground hence motorcycle/atv.,오토바이나 ATV 같은 게 지상에서 달리면 상당히 불안정한 느낌이 들죠.,지면이 불안정하기 때문에 오토바이/ATV를 사용합니다.
196,social,test-en-social_112152593528184304,"Also if you didn't know, you steer a plane on the ground with your feet, not the control yoke.",모르셨겠을텐데 지상에서는 비행기를 조종간이 아니라 발로 조종합니다.,"혹시 모르셨을 수도 있는데, 지상에서 비행기는 조종간이 아니라 발로 조종합니다."
197,social,test-en-social_112152593528184304,Rudder pedals and brakes.,방향타 페달과 브레이크로요.,방향타 페달과 브레이크를 사용하죠.
198,social,test-en-social_112152593528184304,It's not a car.,자동차랑 다르죠.,자동차가 아니니까요.
199,social,test-en-social_112152593528184304,In the air it's bumpy and floaty and feels like you're in a boat on the water.,상공에서는 물 위에서 보트를 타고 있는 것처럼 울퉁불퉁하고 둥둥 떠있는 느낌이 나죠.,공중에서는 울퉁불퉁하고 둥둥 떠다니는 느낌이 마치 물 위의 배에 있는 것 같아요.
200,social,test-en-social_112152593528184304,"You have control, but sometimes a wave knocks you around a little bit, so u need to get your sea legs except in the air.",때로 파도가 와서 좀 치고 그래도 조절이 되잖아요. 바다에서는 그게 적응이 되는데 상공에선 그렇지 않아요.,"조종은 할 수 있지만, 가끔 파도에 부딪히듯 흔들리니까, 바다가 아니라 공중에서 균형을 잡는 법을 익혀야 해요."
201,social,test-en-social_112152593528184304,Oh another random tidbit: Flying is physical.,"오, 다른 랜덤 토막 뉴스: 비행은 체력이 필요해요.","아, 또 다른 잡다한 이야기 하나: 비행은 몸이 고되네요."
202,social,test-en-social_112152593528184304,Today I'm *sore* in my back and legs like I went to the gym.,오늘 운동하러 갔다 온 것처럼 허리와 다리가 *아프네요*.,오늘 헬스장 다녀온 것처럼 허리랑 다리가 *뻐근해요*.
203,social,test-en-social_112152593528184304,This isn't like hopping in the car for a Sunday drive stuff.,이건 일요일에 차로 드라이브하면서 들썩거리는 것과 달라요.,이건 일요일에 드라이브나 가볍게 하는 것과는 달라요.
204,social,test-en-social_112152593528184304,It's closer to a sport than a cruise in my newly initiated opinion.,지금 막 떠오른 제 생각에는 크루즈라기보단 스포츠에 더 가깝죠.,"갓 깨달았는데, 드라이브보다는 스포츠에 가까워요."
205,social,test-en-social_112152593528184304,Welcome to 4000ft.,4000 피트 상공에 오신 걸 환영합니다.,해발 1200미터에 오신 것을 환영합니다.
206,social,test-en-social_112152593528184304,Going back up tomorrow and we're doing stalls and slow flight.,내일 다시 올라갈 거고 실속 속도와 저속 비행을 해보겠습니다.,내일 다시 올라가서 실속과 저속 비행 연습을 할 거야.
207,social,test-en-social_112152593528184304,"Choppy day today, but super fun.",오늘은 날씨가 변덕스럽지만 아주 재미있어요.,오늘 비행은 좀  bumpy했지만 정말 재밌었어요.
208,social,test-en-social_112152593528184304,We did slow flight and stalls.,저속 비행과 실속 비행을 했습니다.,"저속 비행이랑 실속 훈련을 했는데,"
209,social,test-en-social_112152593528184304,At one point we had our ground speed down to 16mph with an airspeed of 65.,한 지점에서 대지 속도를 대기 속도 65에 시속 16마일까지 낮췄습니다.,한 번은 지면 속도가 시속 26km까지 떨어졌는데 대기 속도는 시속 105km였어요.
210,social,test-en-social_112152593528184304,"It was a nice clear day, a little hazy at altitude, but nice none the less.",맑고 상쾌한 날이었네요. 고지에는 안개가 좀 끼긴 했지만 좋았어요.,"날씨가 맑고 쾌청했는데, 고도가 높은 곳에는 약간의 연무가 있었지만, 그럼에도 불구하고 좋았다."
211,social,test-en-social_112152593528184304,FlightAware data track.,항공편 추적기 데이터 추적.,플라이트어웨어 데이터 추적.
212,social,test-en-social_112152593528184304,This stuff really is like going to the gym.,이건 정말 운동하는 것 같네요.,이거 진짜 헬스장 다녀온 것 같아요.
213,social,test-en-social_112152593528184304,I ended up taking a 2 hour nap today (just waking up) because I'm physically tired.,오늘 두 시간 동안 낮잠을 자고 말았죠 (지금 막 깸). 몸이 너무 힘들었거든요.,너무 힘들어서 오늘 2시간이나 낮잠 잤어요 (방금 일어났어요).
214,social,test-en-social_112152593528184304,"I'm also rly sore, especially my legs.",몸도 진짜 쑤시는데 다리가 제일 심해요.,"온몸이 뻐근한데, 특히 다리가 너무 아파요."
215,social,test-en-social_112152593528184304,LOTS of right rudder today.,오늘 키 조종 정말 많이 했거든요.,오늘 오른쪽 방향키를 많이 썼거든요.
216,social,test-en-social_112152593528184304,I need a headset.,헤드셋이 있어야겠어요.,헤드셋이 필요해요.
217,social,test-en-social_112152593528184304,"Ah yes, the budget friendly one will do ($699)","아, 네. 예산은 착한 가격이면 되요 ($699).","아, 네, 저렴한 걸로 할게요 (699달러짜리요)."
218,social,test-en-social_112152593528184304,Ground School off to a good start Yay,그라운드 스쿨을 떠나 멋진 출발 야호,지상 교육 순조롭게 시작했습니다 야호
219,social,test-en-social_112152593528184304,Another one  This one only had 1 question,다른 거 이건 질문이 하나만 있네요,또 하나 이건 질문이 하나뿐이었어요.
220,social,test-en-social_112152593528184304,"They sure do like to say ""May be unrecoverable"" as a way to say ""This shit will kill you""","사람들은 ""회복불능일 걸""이라고 말하는 걸 좋아하겠죠. ""이 빌어먹을 게 널 죽이고 말거야""란 뜻으로요.","""회복 불가능할 수도 있습니다""라고 말하는 게 ""이거 하면 죽어요""라고 말하는 방식인가 봐요."
221,social,test-en-social_112152593528184304,"This one was only 2 questions, but I'll take it :)",이건 질문이 두 개네요. 하지만 전 이걸 고르겠어요 :),"겨우 두 문제였지만, 괜찮아요 :)"
222,social,test-en-social_112152593528184304,I'm about halfway thru the first study unit,첫째 학습 단원의 반 정도 왔어요.,첫 번째 학습 단원의 절반 정도 끝냈어요.
223,social,test-en-social_112152593528184304,"For those who are curious, there are 11 study units.","궁금하신 분들을 위해, 11개 학습 단원이 있답니다.","궁금해하시는 분들을 위해, 총 11개의 학습 단원이 있습니다."
224,social,test-en-social_112152593528184304,"Heck yea, end of study unit 1.",당근이죠. 학습 단원 1이 끝났어요.,"와, 1단원 끝!"
225,social,test-en-social_112152593528184304,"I donked up my threading, so this should be part of the mega thread here.",스레딩 망했네요. 이게 여기 메가 스레드의 일부여야 되는데.,"스레드를 잘못 만들어서, 여기 메가 스레드에 포함되어야 할 것 같네요."
226,social,test-en-social_112152593528184304,"Happy Sunday, Today, I completed my first Cross Country Flight (Flight over 50 Nautical Miles).",즐거운 토요일입니다. 오늘 저는 저의 첫 크로스컨추리 비행 (50해리 이상 비행)을 완수했어요.,즐거운 일요일 보내세요. 오늘 처음으로 장거리 비행(50해리 이상)을 완료했습니다.
227,social,test-en-social_112152593528184304,We flew from Mason Mi to Sturgis Mi and back.,우리는 미시간 메이슨에서 미시간 스터지스까지 비행하고 돌아갔어요.,미시간주 메이슨에서 미시간주 스터지스까지 비행기를 타고 갔다 왔습니다.
228,social,test-en-social_112152593528184304,Sunday Cont.,일요일 계속.,일요일 계속
229,social,test-en-social_112152593528184304,"This was flown by hand, no auto pilot involved",이번엔 자동 비행 장치를 쓰지 않은 수동 비행이었어요.,이것은 자동 조종 장치 없이 수동으로 조종되었습니다.
230,social,test-en-social_112152593528184304,Sunday Cont: The VFR Chart for the trip,일요일 계속: 이동용 VFR 차트,일요일 계속: 이번 여정의 VFR 차트
231,social,test-en-social_112152593528184304,Happy Saturday lovelies!,"사랑하는 여러분, 행복한 일요일예요!","사랑스러운 여러분, 행복한 토요일 보내세요!"
232,social,test-en-social_112152593528184304,Last week the weather didn't cooperate so we're back at it today.,지난 주 날씨가 별로 도와주질 않아서 오늘 다시 시도하려고 합니다.,지난주에는 날씨가 좋지 않아서 오늘 다시 합니다.
233,social,test-en-social_112152593528184304,"Power on Stall recovery, power off stall recovery, slow flight, simulated engine failure(!), pattern work, 3 landings with a little help, and 1 go around.","실속 회복 파워 온, 실속 회복 파워 오프, 저속 비행, 시뮬레이션 엔진 고장(!), 패턴 작업, 약간의 도움으로 3회 착륙, 그리고 고어라운드 1회.","엔진 출력 유지 실속 회복, 엔진 출력 차단 실속 회복, 저속 비행, 엔진 고장 모의(!), 패턴 훈련, 약간의 도움을 받아 착륙 3회, 그리고 복행 1회."
234,social,test-en-social_112152593528184304,Can't complain about any of that ^_^,뭐라고 불평할게 없네요 ^_^,불평할 게 하나도 없네요 ^_^
235,social,test-en-social_112152593528184304,Saturday Cont: The FlightAware track,토요일 계속: 항공편 추적기 추적,토요일 계속: 플라이트어웨어 항적
236,social,test-en-social_112152593528184304,"Lovelies and gentle lovelies,","사랑하는 시청자 여러분,","사랑스러운 여러분, 그리고 다정한 여러분,"
237,social,test-en-social_112152593528184304,It's been a busy weekend.,바쁜 주말이었어요.,바쁜 주말이었어요.
238,social,test-en-social_112152593528184304,🚨 breaking news: Teagan landed an airplane all by herself today!,🚨 속보: Teagan은 오늘 혼자서 비행기를 착륙시켰습니다!,🚨 속보 티건이 오늘 혼자서 비행기를 착륙시켰어요!
239,social,test-en-social_112152593528184304,"Pics are from saturday, ended up with a flat tire after our last landing",토요일에 찍은 사진들이예요. 마지막 착륙 후 타이어에 펑크가 나버렸죠.,토요일 사진이에요. 마지막 착륙 후 타이어가 펑크났어요.
240,social,test-en-social_112152593528184304,The flat tire and the nerd girl,펑크난 타이어와 너드녀,펑크 난 타이어와 범생이 소녀
241,literary,test-en-literary_detestable_chunk_1_words_982,GOOD RIDDANCE,속시원한 이별,잘 가라
242,literary,test-en-literary_detestable_chunk_1_words_982,"The advancement of Humanity never ceased, even for a moment–during difficult times we grow and adapt once again.",인류의 발전은 잠시도 멈추지 않았다. 힘든 시기에도 우리는 다시 한번 성장하고 적응한다.,인류의 진보는 잠시도 멈춘 적이 없었습니다. 어려운 시기를 거치며 우리는 다시 한번 성장하고 적응해왔습니다.
243,literary,test-en-literary_detestable_chunk_1_words_982,"The cities are as prosperous as ever, and our technological advancement is rising.",도시는 변함없이 번창하고 기술도 더 발전하고 있다.,"도시들은 그 어느 때보다 번영하고 있으며, 기술 발전 또한 가속화되고 있습니다."
244,literary,test-en-literary_detestable_chunk_1_words_982,"With our recent discovery of Ignniat, humanity has once skyrocketed past its peak; the greatest has yet to be achieved.",최근 이그나이트를 발견하면서 인류는 한때 정점을 지나 급속히 발전했다. 가장 높은 곳에는 아직 도달하지 않았다.,"최근 이그니앗(Ignniat)의 발견으로 인류는 다시 한번 정점을 뛰어넘었고, 더 위대한 업적을 향해 나아가고 있습니다."
245,literary,test-en-literary_detestable_chunk_1_words_982,This grace of newfound knowledge could only be described as divine intervention - we humanity will be able to grace the gods with our presence in their land in the clouds.,"이러한 새롭게 발견된 지식의 은총은 신의 개입이라고 밖에 설명할 수 없다. 즉, 우리 인류는 구름 속에 있는 신들의 땅에 존재하는 것으로 신들에게 은총을 베풀 수 있을 것이다.",이 새롭게 발견된 지식의 은총은 신의 개입이라고밖에 표현할 수 없습니다. 우리 인류는 구름 위 신들의 땅에 발을 디딜 수 있게 될 것입니다.
246,literary,test-en-literary_detestable_chunk_1_words_982,"Everyone within the company of Karascene has evaluated Ignniat and we sense a large potential within this mineral – worry not, Ignniat has not been evaluated to have any side effects or downsides of being mined, it has a higher chance to–","Karascene의 회사 내 모든 사람들이 이그나이트를 평가했으며 우리는 이 광물에서 큰 잠재력을 느끼고 있다. 걱정할 필요는 없다. 이그나이트는 채굴되는 데 어떤 부작용이나 단점이 있다고 평가되지 않았으므로, 더 높은 가능성이 있다.","카라씬(Karascene) 사의 모든 구성원은 이그니앗을 분석했고, 이 광물에 엄청난 잠재력이 있음을 감지했습니다. 이그니앗은 채굴 시 부작용이나 단점이 전혀 없는 것으로 확인되었으니 안심하십시오. 오히려 더 높은 확률로…"
247,literary,test-en-literary_detestable_chunk_1_words_982,"JANUARY 14th, 10:26 PM, 2543. A click. It had been reruns of this same stream, the day the world was ruined.","2543년 1월 14일 오후 10:26. 딸깍. 세상이 멸망하던 날, 이와 같은 스트림이 재방송되고 있었다.","2543년 1월 14일 오후 10시 26분 딸깍. 세상이 무너진 그 날의 장면이 담긴, 같은 영상의 재방송이었다."
248,literary,test-en-literary_detestable_chunk_1_words_982,Dad always found himself turning the channel off when I was unable to tear my eyes away.,내가 졸고 있을 때면 아빠는 항상 당신이 채널을 껐다.,내가 화면에서 눈을 떼지 못할 때면 아빠는 항상 채널을 돌리곤 했다.
249,literary,test-en-literary_detestable_chunk_1_words_982,"The somber face he gave me ensured a gut-wrenching feeling transpiring from deep within – I always feel bad when it plays, but it opens the floodgates to so many memories; granted they weren't very good ones.","아빠가 내게 준 침울한 얼굴은 깊은 내면에서 일어나는 고통스러운 느낌을 확실히 알게 해 주었다. 나는 이 스트림이 재생될 때 항상 기분이 좋지 않지만, 이는 수많은 기억의 수문을 열어준다. 그다지 좋은 기억들은 아니었다.","그때마다 아빠의 침울한 표정은 내 마음속 깊은 곳에서부터 솟구치는 격렬한 감정을 불러일으켰다. 그 영상이 나올 때마다 마음이 아프지만, 동시에 좋지 않은 기억들이 봇물 터지듯 쏟아져 나왔다."
250,literary,test-en-literary_detestable_chunk_1_words_982,"Letting out a sigh, I slowly rose to my feet, gotta get my mind off things.",나는 한숨을 내쉬며 천천히 일어섰고 정신을 차려야 했다.,한숨을 내쉬며 천천히 일어섰다. 뭔가 다른 생각을 해야겠다.
251,literary,test-en-literary_detestable_chunk_1_words_982,"His saddened mood remained, and regularly I’d try to help ease his mood and at least give him a little bit of joy, but today; I’m tired.","아빠의 슬픈 기분은 여전히 남아 있었다. 나는 자주 아빠의 기분을 풀어주고 작은 기쁨이라도 주려고 노력했지만, 오늘은 내가 피곤하다.","아빠의 슬픔은 여전했고, 나는 늘 아빠의 기분을 풀어주고 조금이라도 기쁨을 드리려 애썼지만, 오늘은 너무 지쳤다."
252,literary,test-en-literary_detestable_chunk_1_words_982,"I hold a relatively slow pace as I approach the door, giving a small holler to Dad.",나는 비교적 느린 걸음으로 문 앞으로 다가가서 아빠에게 작게 외쳤다.,"아빠한테 들리게끔 ""잠깐 나갔다 올게요, 저녁은 냉장고에 있어요"" 하고 말하며 천천히 문으로 다가갔다."
253,literary,test-en-literary_detestable_chunk_1_words_982,"“I’ll be heading out for a bit, dinner is in the fridge.”","""잠깐 나갔다 올게요. 저녁은 냉장고에 있어요.”","아빠한테 들리게끔 ""잠깐 나갔다 올게요, 저녁은 냉장고에 있어요"" 하고 말하며 천천히 문으로 다가갔다."
254,literary,test-en-literary_detestable_chunk_1_words_982,No response. Figures.,아무런 반응이 없었다. 그럴 줄 알았다.,대답이 없다. 역시나.
255,literary,test-en-literary_detestable_chunk_1_words_982,"He usually hears me though, he’ll probably be fine.",그래도 아빠는 보통 내 말을 들으니까 아마 괜찮을 것이다.,"그래도 보통은 내 목소리를 듣긴 하니까, 괜찮겠지."
256,literary,test-en-literary_detestable_chunk_1_words_982,"Slowly closing the door behind me, I let another breathy sigh escape as the door completely shut.",나는 등 뒤로 천천히 문을 닫고 문이 완전히 닫히자 또다시 한숨을 쉬었다.,"뒤로 문을 천천히 닫으며, 완전히 닫히는 순간 작게 한숨을 내쉬었다."
257,literary,test-en-literary_detestable_chunk_1_words_982,"Nearly forgetting, I place my hand on the cold, metallic scanner that locks the door.","거의 잊은 채로, 문을 잠그는 차가운 금속 스캐너에 손을 올렸다.",깜빡할 뻔했네. 차가운 금속 스캐너에 손을 대어 문을 잠갔다.
258,literary,test-en-literary_detestable_chunk_1_words_982,"If there was anything this apartment had, it was advanced tech, but then again; most places had notable technology–it had been a long time since anyone had used any other different technology.",이 아파트에 무언가 있다면 그것은 첨단 기술이다. 하지만 다시 말하자면 대부분의 장소에는 주목할 만한 기술이 있었다. 누군가 다른 기술을 사용한 지 오래되었다.,"이 아파트의 장점을 꼽자면 첨단 기술이 잘 갖춰져 있다는 건데, 사실 요즘은 어딜 가나 최신 기술이 적용되어 있으니… 다른 기술을 사용했던 게 언제였는지 기억도 안 난다."
259,literary,test-en-literary_detestable_chunk_1_words_982,"The cold, rainy night ensued my long overdue walk–exploring the city of Paltricus was a privilege to those who’d been safe from the mutation via escape, or pure luck.",비가 내리는 추운 밤에 나는 오랫동안 미뤄왔던 산책을 이어갔다. 탈출이나 순전한 행운 덕분에 돌연변이로부터 안전했던 사람들에게 팔트리쿠스시를 탐험하는 것은 특권이었다.,"차갑고 비 내리는 밤, 나는 오랫동안 미뤄왔던 산책을 나섰다. 탈출에 성공했거나 운 좋게 변이를 피한 사람들에게 팔트리쿠스 시를 탐험하는 것은 특권이었다."
260,literary,test-en-literary_detestable_chunk_1_words_982,"The city night was beautiful, illuminated with vibrant stars that remained for thousands of years.","도시의 밤은 아름다웠고, 수천 년 동안 남아 있던 생기가 넘치는 별들로 빛나고 있었다.",수천 년 동안 빛나던 생기 넘치는 별빛으로 물든 도시의 밤은 아름다웠다.
261,news,test-en-news_euronews-en.43091,"Brewers froth over winemakers"" exemption from anti-waste rules","양조업체들, 폐기물 방지 규정에서 와인 제조업체 면제에 대해 불만을 표출하다","양조업자들, 와인 제조업자의 음식물쓰레기 규제 제외에 반발"
262,news,test-en-news_euronews-en.43091,"As the EU debates rules to limit packaging waste, beer producers argue they are being unfairly discriminated against with exemptions for winemakers from reuse targets and deposit-return schemes, but one of Europe's wine industry association chiefs says brewers should ""mind their own business.""","유럽 연합이 포장 폐기물 제한 규정에 대한 논의 중인 가운데, 맥주 제조업체들은 재사용 대상 및 보증금 반환 계획에서 와인 제조업체가 면제 대상이 된 것과 관련하여 자신들이 불공정한 차별을 받고 있다고 주장하고 있습니다. 그러나, 유럽 와인 산업 협회의 한 회장은 ""맥주 제조업체들이 신경쓸 문제가 아니다""라고 밝혔습니다.","EU가 포장 폐기물 감축 규제를 논의하는 가운데, 맥주 생산업체들은 와인 생산업체들이 재사용 목표 및 보증금 반환 제도에서 면제되는 것은 부당한 차별이라고 주장하고 있다. 그러나 유럽 와인 업계 협회장 중 한 명은 맥주 생산업체들이 ""자기 일이나 신경 쓰라""고 일축했다."
263,news,test-en-news_euronews-en.43091,"European brewers have warned that exempting wine and not beer from deposit return schemes and reuse targets is unfair and potentially illegal, as lawmakers enter final talks over a new law designed to turn a surging tide of packaging waste across the EU.","국회의원들이 유럽 연합 전반에 걸쳐 급격히 증가하는 포장 폐기물에 대한 새로운 입법안을 놓고 최종적인 토의에 들어간 가운데, 유럽의 맥주 제조업체들은 보증금 반환 계획과 재사용 대상에서 맥주를 빼고 와인만을 면제하는 것이 불공정하며 불법의 소지가 있다며 항의하고 있습니다.","유럽 맥주 제조업체들은 EU 전역의 포장 폐기물 급증 문제를 해결하기 위한 새로운 법안에 대한 최종 협상에 의원들이 돌입함에 따라, 보증금 반환 제도 및 재사용 목표에서 와인은 제외하고 맥주는 제외하지 않는 것은 불공평하고 잠재적으로 불법이라고 경고했습니다."
264,news,test-en-news_euronews-en.43091,"Environment ministers agreed an EU Council negotiating mandate on the proposed Packaging and Packaging Waste Regulation (PPWR) before Christmas, paving the way for imminent political talks with the European Parliament, which are already underway at the technical level.",환경부 장관들은 상정된 포장 및 포장 폐기물 규정(PPWR)에 대해 크리스마스 이전에 유럽 연합 이사회가 협상 권한을 발휘하는 데 동의했으며 이는 기술적 수준에서 이미 진행 중인 유럽 연합 의회와의 임박한 정치적 회담을 위한 준비이기도 합니다.,"환경부 장관들은 크리스마스 이전에 포장 및 포장 폐기물 규정(PPWR)에 대한 EU 이사회 협상 위임에 합의하여, 이미 기술적 수준에서 진행 중인 유럽 의회와의 정치적 협상을 위한 길을 열었습니다."
265,news,test-en-news_euronews-en.43091,"""Our position is clear,"" the trade association Brewers of Europe wrote to MEPs and government negotiators (10 January).",우리 입장은 분명합니다 라고 유럽 맥주 제조업체 무역 협회는 MEP와 정부 교섭자에게 보낸 서신에서 밝혔습니다 (1월 10일).,"""저희 입장은 분명합니다."" 유럽 주류 협회 Brewers of Europe는 유럽 의회 의원들과 정부 협상단에게 (1월 10일) 서한을 보내며 이렇게 밝혔습니다."
266,news,test-en-news_euronews-en.43091,"""If targets and mandatory requirements in the PPWR apply to beer then there is a legal obligation that they apply to all alcoholic beverage categories.""","""PPWR의 대상과 의무 요건을 맥주에 적용한다면 모든 알콜 음료 범주에 적용해야 할 법적 의무가 있는 것입니다.""","""만약 PPWR의 목표와 의무 요건이 맥주에 적용된다면, 모든 주류 범주에도 동일하게 적용되어야 할 법적 의무가 있습니다."""
267,news,test-en-news_euronews-en.43091,"The 18 December ministerial summit yielded a carve out for winemakers from the requirement that, by the end of the decade, 10% of products must be supplied in reusable containers within a system for reuse or refill, rising to 40% in 2040.",12월 18일 장관급 회담에서는 이번 십 년이 끝나기 전에 2040년까지 40%까지 증가하게 될 재사용 또는 리필 시스템을 이용하여 제품의 10%를 재사용 가능한 용기로 제공해야 한다는 요건에서 와인 제조업체를 제외했습니다.,"12월 18일 장관급 회담에서 와인 제조업체들은 재사용 또는 리필 시스템 내에서 2030년까지 제품의 10%, 2040년까지 40%를 재사용 가능한 용기에 담아 공급해야 한다는 요건에서 제외되었습니다."
268,news,test-en-news_euronews-en.43091,"The exemption would also apply to the requirement, likewise supported by the European Parliament, that wine should be exempt from deposit-return schemes that should be put in place by 2029 under the proposal.","유럽 연합 의회의 지지를 받은 것과 마찬가지로, 상정안에 따라 와인은 2029년까지 이행하게 될 보증금 반환 계획에서도 면제되어야 한다는 요건으로 면제 적용될 것입니다.","이 면제는 유럽 의회에서도 지지하는, 해당 제안에 따라 2029년까지 시행될 예정인 보증금 반환 제도에서 와인을 제외해야 한다는 요건에도 적용됩니다."
269,news,test-en-news_euronews-en.43091,"Both the Czech and Belgian ministers immediately expressed reservations at the 18 December summit about the unequal treatment for brewers, but acquiesced.",체코와 벨기에 장관 모두는 12월 8일 정상 회담에서 맥주 제조업체에 대한 불평등 처사에 대해 즉각적인 의구심을 표명하면서도 묵인했습니다.,"체코와 벨기에 장관은 12월 18일 정상회담에서 양조업체에 대한 불평등한 대우에 대해 즉각 유보적인 입장을 표명했지만, 결국 동의했습니다."
270,news,test-en-news_euronews-en.43091,"Belgium, which now chairs the rotating EU Council presidency and is therefore in principle neutral in terms of inter-governmental negotiations, hopes to clinch a deal with the parliament by early March.",현재 순번에 따라 유럽 연합 이사회의 회장직을 맡고 있기에 정부간 협상이란 측면에서 원칙적으로 중립 입장인 벨기에 장관은 3월 초까지 의회와 결론을 낼 수 있기를 바라고 있습니다.,현재 EU 이사회 순환 의장국을 맡고 있어 정부 간 협상에서 원칙적으로 중립적인 입장을 취해야 하는 벨기에는 3월 초까지 의회와 합의를 도출하기를 희망합니다.
271,news,test-en-news_euronews-en.43091,"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers.","유럽 전역의 약 7,000개 와인 제조업체를 대표하는 유럽 와인 사업 위원회 무역 협회의 이냐시오 산체스 레카르트 사무총장은 맥주 제조업체들의 불만을 일축했습니다.","유럽 전역의 약 7,000개 와인 생산업체를 대표하는 유럽주류산업협회(Comité Européen des Entreprises Vins)의 사무총장 이그나시오 산체스 레카르테(Ignacio Sánchez Recarte)는 맥주 제조업체들의 우려를 일축했습니다."
272,news,test-en-news_euronews-en.43091,"He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.",그는 유로뉴스를 통해 다국적 맥주 양조 재벌들은 기껏해야 대부분 소규모로 구성된 국내 생산업체들과의 비교 대상이 아니라고 밝혔습니다.,그는 유로뉴스와의 인터뷰에서 다국적 맥주 대기업이 지배하는 시장은 거의 전적으로 소규모 국내 생산업체로 구성된 시장과 비교할 수 없다고 말했습니다.
